Creacion 11/05/2018 11:16:27 a.m.
CLIENTE_ID|FECHA_ALTA|FECHA_CONFIRM|FECHA_BAJA|STATUS|SYSDATE
2142870|2018/05/09|2018/05/09||18|2018/05/11
2159906|2018/05/10|2018/05/10||18|2018/05/11
2161166|2018/05/09|2018/05/09||18|2018/05/11
2161562|2018/05/08|2018/05/08||18|2018/05/11
2162860|2018/05/04|2018/05/04||18|2018/05/11
2178323|2018/05/04|2018/05/04||18|2018/05/11
2178889|2018/05/04|2018/05/04||18|2018/05/11
2187296|2018/05/03|2018/05/03||1|2018/05/11
2215130|2018/05/03|2018/05/03||23|2018/05/11
2217162|2018/05/08|2018/05/08||1|2018/05/11
2218146|2018/05/10|2018/05/10||18|2018/05/11
2225465|2018/05/07|2018/05/07||1|2018/05/11
2226440|2018/05/03|2018/05/03||1|2018/05/11
2231603|2018/05/08|2018/05/08||1|2018/05/11
2238598|2018/05/09|2018/05/09||18|2018/05/11
2239496|2018/05/07|2018/05/07||18|2018/05/11
2239955|2018/05/04|2018/05/04||18|2018/05/11
2240134|2018/05/09|2018/05/09||18|2018/05/11
2240618|2018/05/05|2018/05/05||18|2018/05/11
2244941|2018/05/04|2018/05/04||18|2018/05/11
2245172|2018/05/07|2018/05/07||18|2018/05/11
2255249|2018/05/08|2018/05/08||18|2018/05/11
2264602|2018/05/03|2018/05/03||18|2018/05/11
2277879|2018/05/08|2018/05/08||18|2018/05/11
2280198|2018/05/09|2018/05/09||18|2018/05/11
2283281|2018/05/09|2018/05/09||18|2018/05/11
2290520|2018/05/04|2018/05/04||18|2018/05/11
2291564|2018/05/08|2018/05/08||18|2018/05/11
2291757|2018/05/03|2018/05/03||18|2018/05/11
2292179|2018/05/07|2018/05/07||18|2018/05/11
2293077|2018/05/04|2018/05/04||18|2018/05/11
2294532|2018/05/05|2018/05/05||18|2018/05/11
2298669|2018/05/03|2018/05/03||1|2018/05/11
2299391|2018/05/08|2018/05/08||1|2018/05/11
2300221|2018/05/07|2018/05/07||18|2018/05/11
2302691|2018/05/03|2018/05/03||1|2018/05/11
2317333|2018/05/03|2018/05/03||18|2018/05/11
2329723|2018/05/09|2018/05/09||18|2018/05/11
2361168|2018/05/08|2018/05/08||18|2018/05/11
2365105|2018/05/09|2018/05/09||18|2018/05/11
2368964|2018/05/04|2018/05/04||1|2018/05/11
2371504|2018/05/09|2018/05/09||18|2018/05/11
2376550|2018/05/09|2018/05/09||18|2018/05/11
2377901|2018/05/08|2018/05/08||18|2018/05/11
2381921|2018/05/02|2018/05/02||1|2018/05/11
2389875|2018/05/08|2018/05/08||18|2018/05/11
2425260|2018/05/02|2018/05/02||1|2018/05/11
2425285|2018/05/08|2018/05/08||18|2018/05/11
2429023|2018/05/04|2018/02/07||1|2018/05/11
2457703|2018/05/09|2018/05/09||18|2018/05/11
2473920|2018/05/08|2018/05/08||18|2018/05/11
2480166|2018/05/04|2018/05/04||18|2018/05/11
2487411|2018/05/08|2018/05/08||18|2018/05/11
2549537|2018/05/04|2018/05/04||18|2018/05/11
2602108|2018/05/04|2018/05/04||1|2018/05/11
2654320|2018/05/07|2018/05/07||18|2018/05/11
2692955|2018/05/07|2018/05/07||1|2018/05/11
2708506|2018/05/03|2018/05/03||1|2018/05/11
2867641|2018/05/04|2018/05/04||1|2018/05/11
2899941|2018/05/07|2018/05/07||18|2018/05/11
2919482|2018/05/10|2018/05/10||18|2018/05/11
2927575|2018/05/02|2018/05/02||1|2018/05/11
2927595|2018/05/02|2018/05/02||21|2018/05/11
2940213|2018/05/04|2018/05/04||1|2018/05/11
2973706|2018/05/09|2018/05/09||18|2018/05/11
2992079|2018/05/10|2018/05/10||18|2018/05/11
3040141|2018/05/08|2018/05/08||1|2018/05/11
3040184|2018/05/08|2018/05/08||1|2018/05/11
3040189|2018/05/08|2018/05/08||1|2018/05/11
3041231|2018/05/08|2018/05/08||1|2018/05/11
3069685|2018/05/03|2018/05/03||18|2018/05/11
3118257|2018/05/04|2018/05/04||18|2018/05/11
3177808|2018/05/02|2018/05/02||1|2018/05/11
3195075|2018/05/02|2018/05/02||1|2018/05/11
3231665|2018/05/03|2018/05/03||1|2018/05/11
