Creacion 23/05/2018 06:06:32 p.m.
FECHA_ULTIMO_MOVIMIENTO|TOTAL|SYSDATE
22/05/2018|3144|23/05/2018
21/05/2018|63236|23/05/2018
20/05/2018|12353|23/05/2018
19/05/2018|25493|23/05/2018
18/05/2018|77642|23/05/2018
17/05/2018|90874|23/05/2018
16/05/2018|219487|23/05/2018
15/05/2018|165288|23/05/2018
14/05/2018|259018|23/05/2018
13/05/2018|48280|23/05/2018
12/05/2018|49721|23/05/2018
11/05/2018|128776|23/05/2018
10/05/2018|125615|23/05/2018
09/05/2018|146175|23/05/2018
08/05/2018|114581|23/05/2018
07/05/2018|283491|23/05/2018
06/05/2018|47283|23/05/2018
05/05/2018|52939|23/05/2018
04/05/2018|112234|23/05/2018
03/05/2018|122159|23/05/2018
02/05/2018|235974|23/05/2018
01/05/2018|7889229|23/05/2018
30/04/2018|230831|23/05/2018
29/04/2018|33154|23/05/2018
28/04/2018|31527|23/05/2018
27/04/2018|77683|23/05/2018
26/04/2018|81586|23/05/2018
25/04/2018|93078|23/05/2018
24/04/2018|85626|23/05/2018
23/04/2018|165290|23/05/2018
22/04/2018|36819|23/05/2018
21/04/2018|35308|23/05/2018
20/04/2018|91074|23/05/2018
19/04/2018|89501|23/05/2018
18/04/2018|89461|23/05/2018
17/04/2018|87870|23/05/2018
16/04/2018|237676|23/05/2018
15/04/2018|72799|23/05/2018
14/04/2018|36545|23/05/2018
13/04/2018|80996|23/05/2018
12/04/2018|83124|23/05/2018
11/04/2018|89587|23/05/2018
10/04/2018|84670|23/05/2018
09/04/2018|158069|23/05/2018
08/04/2018|41265|23/05/2018
07/04/2018|36660|23/05/2018
06/04/2018|86474|23/05/2018
05/04/2018|84543|23/05/2018
04/04/2018|81324|23/05/2018
03/04/2018|81512|23/05/2018
02/04/2018|188402|23/05/2018
01/04/2018|583198|23/05/2018
31/03/2018|101234|23/05/2018
30/03/2018|30778|23/05/2018
29/03/2018|38877|23/05/2018
28/03/2018|64535|23/05/2018
27/03/2018|55372|23/05/2018
26/03/2018|89947|23/05/2018
25/03/2018|25644|23/05/2018
24/03/2018|25565|23/05/2018
23/03/2018|65438|23/05/2018
22/03/2018|65644|23/05/2018
21/03/2018|71699|23/05/2018
20/03/2018|97846|23/05/2018
19/03/2018|68008|23/05/2018
18/03/2018|30370|23/05/2018
17/03/2018|32834|23/05/2018
16/03/2018|143057|23/05/2018
15/03/2018|103958|23/05/2018
14/03/2018|62142|23/05/2018
13/03/2018|65291|23/05/2018
12/03/2018|122556|23/05/2018
11/03/2018|32074|23/05/2018
10/03/2018|32194|23/05/2018
09/03/2018|74194|23/05/2018
08/03/2018|77263|23/05/2018
07/03/2018|71161|23/05/2018
06/03/2018|70721|23/05/2018
05/03/2018|145035|23/05/2018
04/03/2018|33597|23/05/2018
03/03/2018|31997|23/05/2018
02/03/2018|94668|23/05/2018
01/03/2018|711938|23/05/2018
28/02/2018|165784|23/05/2018
27/02/2018|52325|23/05/2018
26/02/2018|105991|23/05/2018
25/02/2018|29499|23/05/2018
24/02/2018|25042|23/05/2018
23/02/2018|69441|23/05/2018
22/02/2018|72512|23/05/2018
21/02/2018|64939|23/05/2018
20/02/2018|66373|23/05/2018
19/02/2018|122718|23/05/2018
18/02/2018|33572|23/05/2018
17/02/2018|29552|23/05/2018
16/02/2018|135223|23/05/2018
15/02/2018|98700|23/05/2018
14/02/2018|58827|23/05/2018
13/02/2018|58915|23/05/2018
12/02/2018|120340|23/05/2018
11/02/2018|41040|23/05/2018
10/02/2018|31407|23/05/2018
09/02/2018|73391|23/05/2018
08/02/2018|67105|23/05/2018
07/02/2018|67845|23/05/2018
06/02/2018|86326|23/05/2018
05/02/2018|71735|23/05/2018
04/02/2018|30707|23/05/2018
03/02/2018|30267|23/05/2018
02/02/2018|79075|23/05/2018
01/02/2018|514990|23/05/2018
31/01/2018|152977|23/05/2018
30/01/2018|48938|23/05/2018
29/01/2018|94341|23/05/2018
28/01/2018|30258|23/05/2018
27/01/2018|25200|23/05/2018
26/01/2018|66941|23/05/2018
25/01/2018|62082|23/05/2018
24/01/2018|62487|23/05/2018
23/01/2018|61870|23/05/2018
22/01/2018|121941|23/05/2018
21/01/2018|32827|23/05/2018
20/01/2018|31192|23/05/2018
19/01/2018|73678|23/05/2018
18/01/2018|68223|23/05/2018
17/01/2018|67662|23/05/2018
16/01/2018|149784|23/05/2018
15/01/2018|174861|23/05/2018
14/01/2018|35239|23/05/2018
13/01/2018|28769|23/05/2018
12/01/2018|75613|23/05/2018
11/01/2018|69708|23/05/2018
10/01/2018|73144|23/05/2018
09/01/2018|65175|23/05/2018
08/01/2018|143954|23/05/2018
07/01/2018|37840|23/05/2018
06/01/2018|36150|23/05/2018
05/01/2018|77927|23/05/2018
04/01/2018|72129|23/05/2018
03/01/2018|70685|23/05/2018
02/01/2018|123533|23/05/2018
01/01/2018|540773|23/05/2018
24/05/2018|108|24/05/2018
23/05/2018|5197|24/05/2018
22/05/2018|46323|24/05/2018
21/05/2018|119884|24/05/2018
20/05/2018|25227|24/05/2018
19/05/2018|33162|24/05/2018
18/05/2018|93565|24/05/2018
17/05/2018|105177|24/05/2018
16/05/2018|260461|24/05/2018
15/05/2018|180265|24/05/2018
14/05/2018|265563|24/05/2018
13/05/2018|48794|24/05/2018
12/05/2018|50215|24/05/2018
11/05/2018|128344|24/05/2018
10/05/2018|124603|24/05/2018
09/05/2018|146917|24/05/2018
08/05/2018|112723|24/05/2018
07/05/2018|280601|24/05/2018
06/05/2018|43802|24/05/2018
05/05/2018|51347|24/05/2018
04/05/2018|110019|24/05/2018
03/05/2018|120579|24/05/2018
02/05/2018|235120|24/05/2018
01/05/2018|7840980|24/05/2018
30/04/2018|229650|24/05/2018
29/04/2018|33120|24/05/2018
28/04/2018|31202|24/05/2018
27/04/2018|78406|24/05/2018
26/04/2018|80698|24/05/2018
25/04/2018|92316|24/05/2018
24/04/2018|83195|24/05/2018
23/04/2018|163709|24/05/2018
22/04/2018|36790|24/05/2018
21/04/2018|35326|24/05/2018
20/04/2018|90495|24/05/2018
19/04/2018|88802|24/05/2018
18/04/2018|88586|24/05/2018
17/04/2018|86910|24/05/2018
16/04/2018|235521|24/05/2018
15/04/2018|71993|24/05/2018
14/04/2018|36374|24/05/2018
13/04/2018|80588|24/05/2018
12/04/2018|82484|24/05/2018
11/04/2018|89016|24/05/2018
10/04/2018|84071|24/05/2018
09/04/2018|157176|24/05/2018
08/04/2018|41319|24/05/2018
07/04/2018|36382|24/05/2018
06/04/2018|86230|24/05/2018
05/04/2018|83958|24/05/2018
04/04/2018|80838|24/05/2018
03/04/2018|81010|24/05/2018
02/04/2018|187044|24/05/2018
01/04/2018|581947|24/05/2018
31/03/2018|100911|24/05/2018
30/03/2018|30713|24/05/2018
29/03/2018|38715|24/05/2018
28/03/2018|64202|24/05/2018
27/03/2018|55135|24/05/2018
26/03/2018|89454|24/05/2018
25/03/2018|25583|24/05/2018
24/03/2018|25492|24/05/2018
23/03/2018|65019|24/05/2018
22/03/2018|65168|24/05/2018
21/03/2018|71199|24/05/2018
20/03/2018|97340|24/05/2018
19/03/2018|67726|24/05/2018
18/03/2018|30299|24/05/2018
17/03/2018|32757|24/05/2018
16/03/2018|142520|24/05/2018
15/03/2018|103620|24/05/2018
14/03/2018|61878|24/05/2018
13/03/2018|65000|24/05/2018
12/03/2018|121461|24/05/2018
11/03/2018|32005|24/05/2018
10/03/2018|32089|24/05/2018
09/03/2018|73710|24/05/2018
08/03/2018|76684|24/05/2018
07/03/2018|70876|24/05/2018
06/03/2018|70406|24/05/2018
05/03/2018|144360|24/05/2018
04/03/2018|33548|24/05/2018
03/03/2018|31881|24/05/2018
02/03/2018|94347|24/05/2018
01/03/2018|705233|24/05/2018
28/02/2018|165547|24/05/2018
27/02/2018|52131|24/05/2018
26/02/2018|105673|24/05/2018
25/02/2018|29463|24/05/2018
24/02/2018|24972|24/05/2018
23/02/2018|69253|24/05/2018
22/02/2018|72288|24/05/2018
21/02/2018|64699|24/05/2018
20/02/2018|66110|24/05/2018
19/02/2018|122178|24/05/2018
18/02/2018|33529|24/05/2018
17/02/2018|29475|24/05/2018
16/02/2018|134751|24/05/2018
15/02/2018|98490|24/05/2018
14/02/2018|58582|24/05/2018
13/02/2018|58702|24/05/2018
12/02/2018|119842|24/05/2018
11/02/2018|40985|24/05/2018
10/02/2018|31339|24/05/2018
09/02/2018|73227|24/05/2018
08/02/2018|66912|24/05/2018
07/02/2018|67603|24/05/2018
06/02/2018|86010|24/05/2018
05/02/2018|71503|24/05/2018
04/02/2018|30665|24/05/2018
03/02/2018|30199|24/05/2018
02/02/2018|78875|24/05/2018
01/02/2018|513644|24/05/2018
31/01/2018|152836|24/05/2018
30/01/2018|48806|24/05/2018
29/01/2018|94503|24/05/2018
28/01/2018|30233|24/05/2018
27/01/2018|24601|24/05/2018
26/01/2018|66819|24/05/2018
25/01/2018|61915|24/05/2018
24/01/2018|62332|24/05/2018
23/01/2018|61703|24/05/2018
22/01/2018|121527|24/05/2018
21/01/2018|32799|24/05/2018
20/01/2018|31139|24/05/2018
19/01/2018|73533|24/05/2018
18/01/2018|68057|24/05/2018
17/01/2018|67488|24/05/2018
16/01/2018|149334|24/05/2018
15/01/2018|174411|24/05/2018
14/01/2018|35207|24/05/2018
13/01/2018|28736|24/05/2018
12/01/2018|75415|24/05/2018
11/01/2018|69564|24/05/2018
10/01/2018|72993|24/05/2018
09/01/2018|65009|24/05/2018
08/01/2018|143485|24/05/2018
07/01/2018|37811|24/05/2018
06/01/2018|36082|24/05/2018
05/01/2018|77800|24/05/2018
04/01/2018|72013|24/05/2018
03/01/2018|70545|24/05/2018
02/01/2018|123247|24/05/2018
01/01/2018|538654|24/05/2018
24/05/2018|108|25/05/2018
23/05/2018|5197|25/05/2018
22/05/2018|46323|25/05/2018
21/05/2018|119884|25/05/2018
20/05/2018|25227|25/05/2018
19/05/2018|33162|25/05/2018
18/05/2018|93565|25/05/2018
17/05/2018|105177|25/05/2018
16/05/2018|260461|25/05/2018
15/05/2018|180265|25/05/2018
14/05/2018|265563|25/05/2018
13/05/2018|48794|25/05/2018
12/05/2018|50215|25/05/2018
11/05/2018|128344|25/05/2018
10/05/2018|124603|25/05/2018
09/05/2018|146917|25/05/2018
08/05/2018|112723|25/05/2018
07/05/2018|280601|25/05/2018
06/05/2018|43802|25/05/2018
05/05/2018|51347|25/05/2018
04/05/2018|110019|25/05/2018
03/05/2018|120579|25/05/2018
02/05/2018|235120|25/05/2018
01/05/2018|7840980|25/05/2018
30/04/2018|229650|25/05/2018
29/04/2018|33120|25/05/2018
28/04/2018|31202|25/05/2018
27/04/2018|78406|25/05/2018
26/04/2018|80698|25/05/2018
25/04/2018|92316|25/05/2018
24/04/2018|83195|25/05/2018
23/04/2018|163709|25/05/2018
22/04/2018|36790|25/05/2018
21/04/2018|35326|25/05/2018
20/04/2018|90495|25/05/2018
19/04/2018|88802|25/05/2018
18/04/2018|88586|25/05/2018
17/04/2018|86910|25/05/2018
16/04/2018|235521|25/05/2018
15/04/2018|71993|25/05/2018
14/04/2018|36374|25/05/2018
13/04/2018|80588|25/05/2018
12/04/2018|82484|25/05/2018
11/04/2018|89016|25/05/2018
10/04/2018|84071|25/05/2018
09/04/2018|157176|25/05/2018
08/04/2018|41319|25/05/2018
07/04/2018|36382|25/05/2018
06/04/2018|86230|25/05/2018
05/04/2018|83958|25/05/2018
04/04/2018|80838|25/05/2018
03/04/2018|81010|25/05/2018
02/04/2018|187044|25/05/2018
01/04/2018|581947|25/05/2018
31/03/2018|100911|25/05/2018
30/03/2018|30713|25/05/2018
29/03/2018|38715|25/05/2018
28/03/2018|64202|25/05/2018
27/03/2018|55135|25/05/2018
26/03/2018|89454|25/05/2018
25/03/2018|25583|25/05/2018
24/03/2018|25492|25/05/2018
23/03/2018|65019|25/05/2018
22/03/2018|65168|25/05/2018
21/03/2018|71199|25/05/2018
20/03/2018|97340|25/05/2018
19/03/2018|67726|25/05/2018
18/03/2018|30299|25/05/2018
17/03/2018|32757|25/05/2018
16/03/2018|142520|25/05/2018
15/03/2018|103620|25/05/2018
14/03/2018|61878|25/05/2018
13/03/2018|65000|25/05/2018
12/03/2018|121461|25/05/2018
11/03/2018|32005|25/05/2018
10/03/2018|32089|25/05/2018
09/03/2018|73710|25/05/2018
08/03/2018|76684|25/05/2018
07/03/2018|70876|25/05/2018
06/03/2018|70406|25/05/2018
05/03/2018|144360|25/05/2018
04/03/2018|33548|25/05/2018
03/03/2018|31881|25/05/2018
02/03/2018|94347|25/05/2018
01/03/2018|705233|25/05/2018
28/02/2018|165547|25/05/2018
27/02/2018|52131|25/05/2018
26/02/2018|105673|25/05/2018
25/02/2018|29463|25/05/2018
24/02/2018|24972|25/05/2018
23/02/2018|69253|25/05/2018
22/02/2018|72288|25/05/2018
21/02/2018|64699|25/05/2018
20/02/2018|66110|25/05/2018
19/02/2018|122178|25/05/2018
18/02/2018|33529|25/05/2018
17/02/2018|29475|25/05/2018
16/02/2018|134751|25/05/2018
15/02/2018|98490|25/05/2018
14/02/2018|58582|25/05/2018
13/02/2018|58702|25/05/2018
12/02/2018|119842|25/05/2018
11/02/2018|40985|25/05/2018
10/02/2018|31339|25/05/2018
09/02/2018|73227|25/05/2018
08/02/2018|66912|25/05/2018
07/02/2018|67603|25/05/2018
06/02/2018|86010|25/05/2018
05/02/2018|71503|25/05/2018
04/02/2018|30665|25/05/2018
03/02/2018|30199|25/05/2018
02/02/2018|78875|25/05/2018
01/02/2018|513644|25/05/2018
